26,24,351.42
26,90,97.11
26,91,98.33
26,477,402.39
26,556,136.69
27,93,133.45
27,99,111.29
27,419,271.98
27,423,175.79
27,485,352.29
27,523,212.11
27,529,153.75
27,552,362.85
28,5,308.2
28,20,136.89
28,92,107.5
28,245,185.46
28,408,198.52
28,431,79.81
28,442,192.68
28,518,96.75
29,1,202.03
29,19,264.85
29,30,167.21
29,100,165.82
29,103,307.47
29,111,674.72
29,417,138.56
29,484,171.55
29,487,186.62
30,29,179.97
30,418,90.17
30,484,86.59
30,487,114.37
30,492,196.01
31,119,107.18
31,123,198.0
31,127,102.56
31,151,205.46
31,152,143.62
31,156,87.79
31,233,157.04
32,58,96.28
32,65,237.8
32,149,188.67
32,194,166.68
32,197,134.66
32,198,98.35
32,209,186.97
33,113,105.82
33,115,138.11
33,158,144.14
33,159,125.18
33,241,264.44
33,249,282.68
34,119,232.36
34,125,86.33
34,140,235.35
34,156,112.69
34,246,117.93
35,47,105.75
35,135,110.21
35,155,185.66
35,175,92.6
35,196,159.57
36,41,95.5
36,127,161.91
36,156,132.64
36,165,86.23
36,233,237.21
37,266,103.97
37,291,180.26
37,301,299.29
37,321,246.06
38,14,99.45
38,71,49.69
38,88,178.47
38,173,224.49
38,180,207.74
39,111,171.75
39,297,176.45
39,414,188.68
39,502,119.23
39,504,256.25
40,106,141.66
40,424,80.59
40,459,130.91
40,474,172.78
40,495,174.18
40,506,235.14
40,507,91.99
41,36,92.69
41,156,205.37
41,165,110.51
41,169,404.77
41,246,81.89
42,131,159.99
42,132,118.35
42,143,162.59
42,178,209.23
42,179,180.66
43,9,146.0
43,134,75.92
43,136,122.65
43,147,188.62
43,148,136.89
43,193,131.02
43,194,210.25
43,195,293.22
44,1,185.47
44,56,167.55
44,121,116.05
44,122,145.94
44,138,129.84
44,139,84.33
44,212,150.91
44,221,137.29
45,8,76.28
45,154,153.78
45,186,204.39
45,190,144.88
45,210,132.89
45,211,76.4
46,60,74.84
46,139,191.19
46,221,95.95
46,246,150.47
46,249,105.24
46,251,152.53
47,35,100.62
47,154,213.42
47,155,65.99
47,175,104.35
47,196,154.48
47,210,103.71
48,169,170.5
48,243,94.93
48,293,97.5
48,306,133.6
49,57,129.38
49,157,301.7
49,170,132.33
49,178,213.39
49,179,123.71
50,4,174.93
50,14,94.07
50,180,132.3
50,239,120.16
51,11,85.99
51,184,155.65
51,185,74.24
51,191,185.02
51,237,128.16
52,116,139.36
52,133,137.48
52,181,123.89
52,185,167.01
52,192,265.03
53,145,127.04
53,146,104.37
53,171,124.52
54,60,105.51
54,160,184.1
54,169,295.64
54,229,155.34
54,235,60.55
54,246,141.69
55,67,118.05
55,190,295.62
55,196,97.73
55,197,223.14
55,209,229.08
55,210,90.75
55,211,194.77
56,7,175.6
56,44,99.7
56,105,75.82
56,121,119.52
56,122,83.96
56,124,206.15
57,49,137.52
57,157,154.08
57,170,191.89
57,175,102.07
57,178,100.57
58,32,134.19
58,149,104.74
58,193,98.04
58,194,96.04
58,197,178.69
58,198,256.38
59,3,143.87
59,5,166.96
59,92,479.07
59,174,113.13
59,205,357.29
59,215,163.58
59,216,218.89
59,232,159.08
60,46,94.27
60,54,61.97
60,158,108.31
60,229,242.75
60,246,221.88
60,249,230.06
61,65,149.02
61,66,167.24
61,137,213.49
61,150,125.09
61,187,133.66
61,209,280.93
61,240,98.03
62,126,321.47
62,202,192.14
62,224,198.24
62,225,178.35
62,252,132.27
63,73,296.13
63,278,94.43
63,301,271.12
63,306,113.61
63,313,350.3
63,326,129.21
64,149,228.84
64,199,166.83
64,200,147.9
64,201,273.37
64,218,121.68
64,230,204.22
65,32,242.05
65,61,221.42
65,137,123.56
65,187,267.58
65,198,139.96
65,199,216.28
65,209,158.57
65,240,265.12
66,7,341.49
66,61,154.36
66,150,119.45
66,186,142.81
66,190,135.99
66,203,220.78
66,240,231.24
67,55,89.17
67,150,179.2
67,187,111.46
67,190,125.27
67,209,179.27
67,211,239.49
68,272,279.6
68,374,205.51
69,74,268.4
69,253,314.0
69,323,864.56
70,77,193.44
70,262,290.69
70,275,115.42
70,310,180.24
71,14,72.39
71,38,74.36
71,88,229.95
71,271,73.25
72,256,132.16
72,257,76.33
72,330,264.26
72,344,213.64
72,348,191.7
73,63,279.71
73,231,66.33
73,278,227.62
73,290,192.01
73,313,100.67
73,333,93.43
74,69,153.82
74,323,268.27
74,325,304.82
75,283,284.15
75,302,280.24
75,311,270.22
75,375,259.45
75,377,417.17
76,83,202.59
76,285,190.02
76,286,150.73
76,316,280.68
76,318,162.5
76,319,204.7
76,320,112.64
76,353,214.99
77,70,160.87
77,80,229.26
77,247,192.41
77,275,183.19
77,310,214.42
77,315,369.63
77,339,182.53
77,342,197.01
78,111,296.37
78,171,140.98
78,303,172.78
78,329,153.27
78,335,223.69
79,2,211.41
79,17,99.67
79,369,123.12
79,370,238.74
80,77,170.27
80,247,261.43
80,275,141.34
80,312,248.92
80,315,193.24
80,338,164.19
81,159,200.53
81,241,171.8
81,280,105.43
81,312,274.53
81,343,136.78
81,349,148.69
82,103,137.79
82,244,250.2
82,440,90.14
82,444,175.43
82,516,253.26
83,76,208.72
83,133,188.32
83,317,201.44
83,318,108.91
83,353,156.84
83,356,143.18
84,304,147.42
84,360,88.17
84,380,116.09
84,381,207.65
85,87,189.81
85,361,176.58
85,374,262.68
86,16,223.16
86,234,193.58
86,366,346.82
86,367,80.74
86,368,200.46
86,370,162.45
87,85,98.19
87,292,442.83
87,361,172.11
87,373,180.12
87,374,105.89
87,386,340.97
88,38,125.06
88,71,138.24
88,173,195.97
88,232,269.28
88,242,111.17
88,271,187.09
88,378,138.16
89,90,146.16
89,91,152.13
89,254,120.35
89,351,81.4
89,363,229.77
89,376,119.56
90,26,100.57
90,89,96.74
90,91,49.18
90,363,361.46
91,3,272.64
91,21,465.04
91,23,280.05
91,26,111.87
91,89,120.59
91,90,232.46
91,232,481.04
91,242,206.5
91,351,129.09
91,378,286.84
92,3,222.51
92,5,507.87
92,21,130.23
92,28,117.97
92,59,453.26
92,518,99.51
93,27,154.28
93,94,116.87
93,423,139.1
93,447,260.14
93,448,254.34
93,523,204.37
94,93,153.11
94,423,105.48
94,447,103.2
94,528,85.08
95,438,196.66
95,439,94.25
95,473,166.83
95,476,77.48
95,479,209.99
95,481,125.05
96,447,365.36
96,448,189.15
96,452,348.81
96,496,290.75
96,523,279.25
96,524,133.8
96,525,153.55
97,465,361.84
97,466,139.3
97,468,211.54
97,506,259.94
97,519,260.86
97,527,183.07
98,472,128.46
98,479,76.23
98,480,195.99
98,513,78.15
98,516,153.4
